SalesID,OrderID,OrderDate,ProductID,CustomerID,RegionID,ShipMode,Quantity,Discount,SalesAmount,Profit,LocationID,FeedbackProvided
104715,AZ-2011-4452827,2011-11-13,1,706,3,Economy,3,,89.0,15.0,1780,False
104716,BN-2012-8746032,2012-11-08,1,299,3,Economy,1,,30.0,5.0,1108,True
104717,AZ-2013-1201319,2013-03-11,1,218,3,Economy,10,,296.0,50.0,1956,False
104718,BN-2013-9278672,2013-09-20,1,207,1,Economy Plus,2,0.5,30.0,-20.0,1711,False
104719,BN-2013-4083449,2013-09-21,1,109,3,Economy,3,0.5,44.0,-29.0,1879,False
104720,BN-2013-2717861,2013-09-25,1,185,2,Economy,5,0.5,74.0,-49.0,1833,True
104721,AZ-2013-2566015,2013-10-08,1,485,2,Priority,2,,59.0,10.0,1149,True
104722,AZ-2014-4362946,2014-09-04,1,110,2,Economy Plus,3,,89.0,15.0,1117,False
104723,AZ-2014-7956998,2014-10-06,1,762,3,Economy,2,,59.0,10.0,1541,True
104724,AZ-2014-1456061,2014-12-19,2,75,3,Economy Plus,5,,158.0,65.0,1279,False
104725,AZ-2014-8154802,2014-05-29,2,276,3,Economy Plus,10,0.5,158.0,-29.0,1332,True
104726,AZ-2014-4257204,2014-07-28,2,458,1,Economy Plus,5,,158.0,65.0,1275,False
104727,AZ-2014-9876300,2014-08-09,2,560,3,Economy,4,,126.0,52.0,1306,True
104728,AZ-2013-3680670,2013-05-15,2,69,2,Economy,11,,348.0,143.0,1788,True
104729,AZ-2013-9667532,2013-08-27,2,207,1,Economy,2,0.1,57.0,20.0,1168,True
104730,AZ-2012-5854289,2012-03-20,2,721,3,Priority,7,,221.0,91.0,1834,True
104731,AZ-2011-310635,2011-06-16,2,63,1,Economy,2,,63.0,26.0,1785,True
104732,AZ-2011-555801,2011-06-13,3,401,3,Economy Plus,9,,271.0,51.0,1342,True
104733,AZ-2011-2571428,2011-09-27,3,135,3,Economy,5,0.1,136.0,13.0,1320,False
104734,BN-2011-5624168,2011-10-20,3,158,3,Economy,1,0.1,27.0,3.0,1320,True
104735,AZ-2012-4858195,2012-06-15,3,690,3,Immediate,3,,90.0,17.0,1724,False
104736,AZ-2012-5117204,2012-07-13,3,430,1,Economy,2,0.1,54.0,5.0,1168,True
104737,BN-2012-5839370,2012-01-23,3,455,2,Economy,7,,211.0,40.0,1959,True
104738,AZ-2013-1244068,2013-05-18,3,319,1,Priority,8,,241.0,46.0,1400,False
104739,AZ-2013-6246292,2013-04-03,3,485,2,Economy Plus,4,,120.0,23.0,1140,True
104740,AZ-2012-6591683,2012-08-24,3,704,2,Economy Plus,5,,151.0,29.0,1209,True
104741,AZ-2014-8467172,2014-05-09,3,182,1,Priority,5,,151.0,29.0,1493,False
104742,AZ-2014-2846196,2014-04-09,3,721,3,Priority,3,,90.0,17.0,1842,False
104743,AZ-2013-9800622,2013-09-16,3,567,3,Priority,2,,60.0,11.0,1238,True
104744,AZ-2014-4979219,2014-11-07,3,639,3,Economy,2,,60.0,11.0,1367,False
104745,AZ-2014-9283852,2014-09-30,3,45,2,Economy,3,,90.0,17.0,1811,True
104746,AZ-2014-6356102,2014-09-08,4,283,3,Economy Plus,4,,122.0,11.0,1194,True
104747,AZ-2014-338779,2014-12-29,4,235,3,Immediate,3,,91.0,8.0,1169,False
104748,BN-2014-1317809,2014-02-07,4,392,1,Economy,4,0.5,61.0,-50.0,1200,False
104749,AZ-2013-425562,2013-08-13,4,125,3,Economy,7,0.5,107.0,-88.0,1787,False
104750,AZ-2013-6548311,2013-06-15,4,304,2,Economy Plus,7,,213.0,19.0,1012,False
104751,AZ-2011-831255,2011-11-29,4,552,2,Economy,5,,152.0,14.0,1544,False
104752,AZ-2011-5708655,2011-01-26,5,36,1,Economy,1,,13.0,5.0,1400,False
104753,AZ-2012-3490353,2012-08-16,5,201,1,Economy,5,,64.0,27.0,1405,True
104754,AZ-2012-4697913,2012-12-01,5,240,3,Economy,1,,13.0,5.0,1571,True
104755,AZ-2013-8607757,2013-08-31,5,677,3,Economy,2,,26.0,11.0,1187,False
104756,AZ-2014-9687341,2014-03-03,5,243,2,Priority,5,,64.0,27.0,1714,True
104757,AZ-2014-3040435,2014-05-07,5,293,2,Immediate,7,,89.0,38.0,1742,False
104758,AZ-2014-9423386,2014-06-08,5,547,1,Economy,2,,26.0,11.0,1163,True
104759,BN-2014-4964479,2014-08-11,5,57,1,Economy,5,0.5,32.0,-5.0,1106,True
104760,AZ-2014-5109192,2014-08-29,5,415,2,Economy Plus,2,,26.0,11.0,1811,False
104761,BN-2014-9289926,2014-08-13,6,176,3,Economy,3,0.5,22.0,-2.0,1879,True
104762,AZ-2014-2846196,2014-04-09,6,721,3,Priority,1,,15.0,7.0,1842,False
104763,BN-2012-704979,2012-12-03,6,727,3,Economy,4,0.5,30.0,-3.0,1879,False
104764,AZ-2012-6534891,2012-08-06,6,627,3,Economy,8,,119.0,53.0,1652,False
104765,AZ-2013-5637964,2013-06-14,6,99,2,Economy,3,,44.0,20.0,1149,True
104766,BN-2012-9976090,2012-06-15,6,221,1,Economy,5,0.5,37.0,-4.0,1568,True
104767,AZ-2012-5629716,2012-04-24,6,189,1,Economy,2,0.5,15.0,-2.0,1887,False
104768,AZ-2011-5353512,2011-11-15,7,537,1,Economy,2,,27.0,11.0,1098,False
104769,AZ-2011-6314494,2011-03-22,7,5,3,Economy Plus,3,,40.0,16.0,1924,True
104770,AZ-2011-529480,2011-11-04,7,470,3,Immediate,6,,80.0,33.0,1509,False
104771,BN-2011-3405497,2011-09-12,7,204,3,Priority,2,0.5,13.0,-2.0,1150,True
104772,BN-2011-1973226,2011-08-25,7,508,3,Priority,3,0.5,20.0,-4.0,1071,True
104773,BN-2013-1199196,2013-04-04,7,1,1,Priority,3,0.5,20.0,-4.0,1711,False
104774,BN-2012-2480947,2012-10-01,7,627,2,Economy,5,,67.0,27.0,1530,False
104775,AZ-2012-5380367,2012-12-18,7,199,2,Economy Plus,5,,67.0,27.0,1356,True
104776,AZ-2013-6411622,2013-12-06,7,649,2,Economy,3,,40.0,16.0,1149,True
104777,AZ-2013-1450841,2013-12-11,7,278,1,Economy,7,,93.0,38.0,1474,False
104778,AZ-2014-2049231,2014-09-12,7,248,3,Immediate,3,,40.0,16.0,1868,True
104779,AZ-2014-9290079,2014-10-29,7,443,3,Immediate,3,,40.0,16.0,1632,False
104780,AZ-2014-3772714,2014-11-05,7,433,3,Economy,2,0.1,24.0,8.0,1320,False
104781,BN-2014-8729433,2014-11-28,7,35,2,Economy,3,,40.0,16.0,1636,True
104782,AZ-2014-7917041,2014-02-07,8,20,1,Priority,6,,82.0,24.0,1522,False
104783,AZ-2013-7212941,2013-09-27,8,214,3,Economy,2,,27.0,8.0,1807,False
104784,BN-2014-9297622,2014-08-09,8,746,3,Economy,5,,68.0,20.0,1881,True
104785,AZ-2012-2676448,2012-11-21,8,331,1,Economy,6,,82.0,24.0,1835,False
104786,BN-2012-9766110,2012-11-12,8,501,3,Economy,5,0.5,34.0,-14.0,1879,False
104787,AZ-2013-1305763,2013-08-17,8,176,3,Economy,6,,82.0,24.0,1666,False
104788,AZ-2011-269617,2011-10-14,8,80,3,Economy,3,,41.0,12.0,1824,True
104789,AZ-2011-8091357,2011-02-22,8,98,2,Economy,3,,41.0,12.0,1459,False
104790,AZ-2011-1229073,2011-09-02,9,66,3,Immediate,3,,44.0,14.0,1276,False
104791,AZ-2012-4114446,2012-06-25,9,86,1,Economy,3,0.1,39.0,10.0,1168,True
104792,AZ-2013-7420821,2013-08-08,9,644,3,Economy,2,,29.0,10.0,1251,False
104793,AZ-2013-6557356,2013-07-24,9,44,3,Economy,2,,29.0,10.0,1131,False
104794,AZ-2013-9510969,2013-06-29,9,252,3,Economy,2,,29.0,10.0,1705,False
104795,AZ-2012-3240635,2012-08-04,9,30,1,Economy,1,,15.0,5.0,1912,False
104796,AZ-2014-3152192,2014-08-12,9,763,3,Economy Plus,3,,44.0,14.0,1278,False
104797,AZ-2014-7559848,2014-07-16,9,68,2,Priority,3,,44.0,14.0,1423,False
104798,AZ-2014-8072952,2014-10-16,9,792,3,Economy,3,,44.0,14.0,1101,True
104799,AZ-2014-9111832,2014-09-29,9,610,3,Economy,3,,44.0,14.0,1249,False
104800,AZ-2014-4004441,2014-10-23,10,496,3,Economy,2,,33.0,9.0,1482,False
104801,AZ-2014-6484153,2014-11-29,10,442,1,Economy,2,,33.0,9.0,1400,False
104802,AZ-2014-2188891,2014-06-25,10,780,3,Economy Plus,4,,67.0,19.0,1956,False
104803,AZ-2014-9106967,2014-03-25,10,638,2,Economy,1,,17.0,5.0,1411,True
104804,AZ-2013-8958085,2013-07-12,10,169,2,Economy,8,,133.0,37.0,1811,False
104805,AZ-2012-3981098,2012-07-06,10,495,1,Economy,2,,33.0,9.0,1208,False
104806,AZ-2012-8039360,2012-04-27,10,781,3,Economy,3,,50.0,14.0,1956,True
104807,BN-2011-886514,2011-11-10,10,64,3,Economy,3,,50.0,14.0,1957,False
104808,AZ-2011-8245903,2011-12-09,10,34,3,Priority,3,,50.0,14.0,1999,False
104809,AZ-2011-5148757,2011-07-31,10,708,3,Economy,3,,50.0,14.0,1239,True
104810,BN-2011-4396152,2011-08-05,10,675,3,Economy,7,0.5,58.0,-26.0,1453,False
104811,AZ-2012-364031,2012-07-03,11,579,2,Economy,2,,30.0,4.0,1544,False
104812,AZ-2013-9398373,2013-08-23,11,112,1,Priority,4,,61.0,8.0,1476,True
104813,AZ-2012-6749247,2012-08-07,11,161,3,Priority,3,,45.0,6.0,1733,False
104814,AZ-2014-5973940,2014-04-19,11,706,3,Economy,2,,30.0,4.0,1425,True
104815,AZ-2014-7106624,2014-06-27,11,583,2,Economy,4,,61.0,8.0,1839,False
104816,AZ-2014-3770776,2014-01-31,11,573,2,Economy,5,,76.0,11.0,1617,False
104817,BN-2013-5879462,2013-12-04,11,701,1,Economy,3,,45.0,6.0,1335,True
104818,BN-2014-3007442,2014-11-26,11,676,3,Economy,7,,106.0,15.0,1070,False
104819,AZ-2014-436448,2014-12-30,11,549,2,Economy,3,,45.0,6.0,1566,True
104820,BN-2014-1328067,2014-08-06,12,540,3,Economy Plus,2,,31.0,1.0,1131,True
104821,AZ-2012-3985988,2012-06-25,12,64,2,Economy,8,,124.0,4.0,1796,False
104822,AZ-2011-4159708,2011-04-28,12,351,3,Economy,1,,16.0,,1146,False
104823,AZ-2012-9340970,2012-09-28,13,53,2,Economy,3,,152.0,17.0,1379,True
104824,AZ-2012-4874543,2012-10-24,13,494,1,Economy,2,,101.0,11.0,1951,False
104825,AZ-2013-4421845,2013-08-08,13,235,3,Economy,4,,202.0,22.0,1855,True
104826,AZ-2013-156529,2013-11-30,13,765,3,Economy,6,,303.0,33.0,1752,False
104827,AZ-2013-8583368,2013-12-17,13,769,3,Economy,6,,303.0,33.0,1052,True
104828,AZ-2013-5049068,2013-12-25,13,565,3,Economy Plus,2,,101.0,11.0,1722,True
104829,AZ-2014-6453341,2014-12-17,13,460,3,Economy,2,,101.0,11.0,1387,False
104830,AZ-2014-8665160,2014-12-05,14,444,2,Economy,3,,158.0,38.0,1395,True
104831,AZ-2014-6685609,2014-08-07,14,514,1,Economy Plus,6,0.1,284.0,44.0,1168,True
104832,AZ-2014-9026521,2014-08-12,14,482,3,Economy,9,,473.0,113.0,1678,True
104833,AZ-2014-795523,2014-04-02,14,444,3,Economy,2,,105.0,25.0,1039,False
104834,AZ-2014-9876866,2014-05-30,14,704,3,Economy,4,,210.0,50.0,1689,True
104835,AZ-2013-4330374,2013-06-26,14,362,2,Economy,3,,158.0,38.0,1021,False
104836,AZ-2012-5894854,2012-07-13,14,746,1,Economy Plus,6,,316.0,76.0,1682,True
