SalesID,OrderID,OrderDate,ProductID,CustomerID,RegionID,ShipMode,Quantity,Discount,SalesAmount,Profit,LocationID,FeedbackProvided
110907,BN-2011-980083,2011-08-21,1460,6,3,Economy,3,,204.0,31.0,1590,True
110860,AZ-2013-9992531,2013-09-04,1446,112,3,Economy,2,0.2,137.0,46.0,1320,True
108133,AZ-2012-6517579,2012-12-22,713,689,3,Economy Plus,3,0.1,71.0,25.0,1666,False
110109,BN-2013-9407100,2013-01-03,1267,788,3,Economy,4,,44.0,19.0,1388,True
110726,AZ-2013-9549607,2013-06-25,1403,591,3,Economy,3,,146.0,7.0,1077,True
106772,AZ-2013-5794364,2013-07-25,392,501,1,Immediate,7,,349.0,35.0,1931,True
107400,AZ-2011-5511380,2011-11-01,547,498,3,Economy,3,,148.0,35.0,1582,True
107816,AZ-2014-9504290,2014-11-11,644,89,2,Economy,2,,57.0,27.0,1567,False
111395,AZ-2011-7255147,2011-02-10,1559,186,3,Economy,2,,780.0,117.0,1078,False
109333,AZ-2014-3348489,2014-02-28,1020,74,1,Economy Plus,2,,32.0,2.0,1414,False
109698,AZ-2013-6968684,2013-09-20,1152,210,2,Economy,4,,123.0,33.0,1773,True
110524,AZ-2014-6423763,2014-12-19,1368,715,3,Economy,3,0.1,382.0,68.0,1598,True
105636,AZ-2014-7306180,2014-01-20,184,641,3,Economy Plus,2,,13.0,,1966,True
105037,AZ-2014-2367501,2014-05-10,60,388,3,Economy Plus,8,,177.0,11.0,1942,True
107678,BN-2012-6872089,2012-10-17,604,751,2,Economy Plus,6,0.1,264.0,-21.0,1243,False
110206,AZ-2012-6572855,2012-03-15,1290,698,3,Economy,3,0.1,254.0,107.0,1976,False
110938,AZ-2013-9221465,2013-07-08,1468,396,2,Economy Plus,7,0.4,2684.0,-1476.0,1811,False
109586,AZ-2012-8926364,2012-06-21,1113,186,3,Economy,2,,99.0,10.0,1349,False
108022,AZ-2014-1021956,2014-07-31,703,174,3,Economy,5,0.1,89.0,6.0,1741,True
111721,BN-2012-2480947,2012-10-01,1626,627,2,Economy,5,,57.0,14.0,1530,False
108047,AZ-2014-6246493,2014-07-04,706,685,2,Economy,3,0.4,34.0,3.0,1979,True
107702,AZ-2014-9590613,2014-02-17,611,428,3,Economy Plus,2,0.1,86.0,8.0,1120,False
104946,AZ-2014-6340236,2014-02-27,29,455,2,Economy,4,,57.0,21.0,1836,True
